business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,violation_id,violation_description,risk_category
"61989","Osha Thai Restaurant & Lounge","311 03rd St","94107","37.783662","-122.398704","(37.783662, -122.398704)","14155896742","61989_20170627","6/27/17","67","61989_20170627_103133","Foods not protected from contamination","Moderate Risk"
"7748","FOODS CO. #351","345 WILLIAMS Ave","94124","37.730164","-122.399114","(37.730164, -122.399114)","14155331870","7748_20170125","1/25/17","90","7748_20170125_103133","Foods not protected from contamination","Moderate Risk"
"2397","PLOY #2 THAI CUISINE","1770 HAIGHT St","94117","37.769458","-122.451354","(37.769458, -122.451354)","14155389224","2397_20170301","3/1/17","74","2397_20170301_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"3607","Station Cafe","1 ZOO Rd","94132","37.73017","-122.502535","(37.73017, -122.502535)","14159459537","3607_20170818","8/18/17","96","3607_20170818_103120","Moderate risk food holding temperature","Moderate Risk"
"2619","KEZAR BAR & RESTAURANT","900 COLE St","94117","37.765538","-122.449887","(37.765538, -122.449887)","14155687678","2619_20180206","2/6/18","85","2619_20180206_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"1527","CITY'S CHOICE","301 05th St","94107","37.780263","-122.403323","(37.780263, -122.403323)","14155891888","1527_20170815","8/15/17","84","1527_20170815_103109","Unclean or unsanitary food contact surfaces","High Risk"
"67330","San Tung Restaurant LLC","1031 Irving St","94122","37.763891","-122.468805","(37.763891, -122.468805)","14155240828","67330_20160825","8/25/16","57","67330_20160825_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
"1159","Zona Rosa","1797 Haight St","94117","37.769363","-122.451667","(37.769363, -122.451667)","14155667717","1159_20170131","1/31/17","78","1159_20170131_103114","High risk vermin infestation","High Risk"
"54","RHODA GOLDMAN PLAZA","2180 POST St","94115","37.784626","-122.437734","(37.784626, -122.437734)","14155345060","54_20170215","2/15/17","87","54_20170215_103120","Moderate risk food holding temperature","Moderate Risk"
"1668","SILVER CREST DONUT SHOP","340 BAYSHORE Blvd","94124","37.742456","-122.405766","(37.742456, -122.405766)","14155820753","1668_20170808","8/8/17","98","1668_20170808_103157","Food safety certificate or food handler card not available","Low Risk"
"2842","SEASONS RESTAURANT","757 MARKET St 5/Fl","94103","37.786476","-122.404852","(37.786476, -122.404852)","14155633000","2842_20170616","6/16/17","73","2842_20170616_103109","Unclean or unsanitary food contact surfaces","High Risk"
"4512","BRANNAN STREET CAFE","274 BRANNAN St","94107","37.782334","-122.391479","(37.782334, -122.391479)","14155546562","4512_20170905","9/5/17","94","4512_20170905_103142","Unclean nonfood contact surfaces","Low Risk"
"5194","CULINARY ARTS & HOSPITALITY","50 PHELAN Ave","94112","37.723638","-122.452273","(37.723638, -122.452273)","14155233435","5194_20180501","5/1/18","90","5194_20180501_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"69383","La Mediterranee","1624 Powell St","94133","37.799639","-122.410657","(37.799639, -122.410657)","14155922956","69383_20180420","4/20/18","98","69383_20180420_103154","Unclean or degraded floors walls or ceilings","Low Risk"
"4108","Hornblower Cruises & Events/SF Belle","Pier 3","94111","37.797473","-122.39592","(37.797473, -122.39592)","14155948305","4108_20170111","1/11/17","92","4108_20170111_103154","Unclean or degraded floors walls or ceilings","Low Risk"
"61976","DELICA","1 Ferry Building  #45","94111","37.795225","-122.39377","(37.795225, -122.39377)","14155830344","61976_20170809","8/9/17","98","61976_20170809_103142","Unclean nonfood contact surfaces","Low Risk"
"7757","CAKE GALLERY","290 09th St","94103","37.768357","-122.419792","(37.768357, -122.419792)","14155560552","7757_20180213","2/13/18","93","7757_20180213_103114","High risk vermin infestation","High Risk"
"2737","CAFFE' ROMA","885 Bryant St","94103","37.774677","-122.404222","(37.774677, -122.404222)","14155297662","2737_20170725","7/25/17","90","2737_20170725_103139","Improper food storage","Low Risk"
"5170","BAYVIEW HP MULTI-SERVICE DROP-IN CT","2111 JENNINGS St","94124","37.726932","-122.388696","(37.726932, -122.388696)","14155671100","5170_20170131","1/31/17","94","5170_20170131_103139","Improper food storage","Low Risk"
"1673","RUBIN'S","101 SPEAR St","94105","37.792577","-122.393992","(37.792577, -122.393992)","14155971545","1673_20170608","6/8/17","79","1673_20170608_103105","Improper cooling methods","High Risk"
"62702","Comstock Saloon","155 Columbus Ave.","94133","37.79668","-122.40498","(37.79668, -122.40498)","14155610071","62702_20170317","3/17/17","92","62702_20170317_103120","Moderate risk food holding temperature","Moderate Risk"
"5307","San Francisco ZOO WAREHOUSE","1 ZOO Rd","94132","37.73017","-122.502535","(37.73017, -122.502535)","14155757132","5307_20180717","7/17/18","98","5307_20180717_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
"1788","EXECUTIVE CAFE","150 EXECUTIVE PARK Blvd 2000","94134","37.711323","-122.393371","(37.711323, -122.393371)","14155532612","1788_20170124","1/24/17","87","1788_20170124_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
"5196","San Francisco Campus for Jewish Living","302 SILVER Ave","94112","37.728659","-122.431174","(37.728659, -122.431174)","14155401568","5196_20170918","9/18/17","89","5196_20170918_103120","Moderate risk food holding temperature","Moderate Risk"
"4400","BOTTOM OF THE HILL","1233 17th St","94107","37.765117","-122.396135","(37.765117, -122.396135)","14150204876","4400_20170913","9/13/17","96","4400_20170913_103131","Moderate risk vermin infestation","Moderate Risk"
"34749","Chatz Coffee","215 02nd St","94105","37.786529","-122.397827","(37.786529, -122.397827)","14155420827","34749_20170215","2/15/17","98","34749_20170215_103150","Improper or defective plumbing","Low Risk"
"5533","LEAPING LEMUR CART","1  zoo rd","94132","37.721453","-122.48629","(37.721453, -122.48629)","14155757182","5533_20170815","8/15/17","92","5533_20170815_103127","Noncompliance with HAACP plan or variance","Moderate Risk"
"27801","Hive Coffee Bar","540 Howard St","94105","37.787764","-122.397089","(37.787764, -122.397089)","14155979942","27801_20170510","5/10/17","91","","",""
"64496","Hornblower Cruises & Events/SF Spirit","Pier 3, The Embarcadero","94111","37.794551","-122.39319","(37.794551, -122.39319)","14155788866","64496_20170111","1/11/17","98","64496_20170111_103143","Inadequate warewashing facilities or equipment","Low Risk"
"194","BAYSIDE COFFEE SHOP","2011 BAYSHORE Blvd","94134","37.715126","-122.398901","(37.715126, -122.398901)","14155462023","194_20170919","9/19/17","84","194_20170919_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
"70210","Marcus Rios","1800 Mission St","94103","37.76824","-122.420035","(37.76824, -122.420035)","14155353113","70210_20180208","2/8/18","98","70210_20180208_103157","Food safety certificate or food handler card not available","Low Risk"
"3393","DON RAMON","225 11th St","94103","37.772764","-122.415082","(37.772764, -122.415082)","14155339141","3393_20180424","4/24/18","96","3393_20180424_103133","Foods not protected from contamination","Moderate Risk"
"9436","Assab","2845 Geary Blvd","94118","37.782016","-122.450026","(37.782016, -122.450026)","14155829500","9436_20171206","12/6/17","100","","",""
"1263","LAVA JAVA","852 STANYAN St","94117","37.766812","-122.452974","(37.766812, -122.452974)","14155757375","1263_20171201","12/1/17","94","1263_20171201_103120","Moderate risk food holding temperature","Moderate Risk"
"1699","TWILIGHT CAFE","2600 McALLISTER St","94118","37.775698","-122.455034","(37.775698, -122.455034)","14155376115","1699_20171108","11/8/17","96","1699_20171108_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk"
"62067","Caffe La Stazione","701 Pennsylvania Ave #101A","94107","37.757364","-122.393066","(37.757364, -122.393066)","14155812539","62067_20180216","2/16/18","93","62067_20180216_103102","Unclean hands or improper use of gloves","High Risk"
"3867","Bacco","737 DIAMOND St","94114","37.751403","-122.436286","(37.751403, -122.436286)","14155284969","3867_20180213","2/13/18","81","3867_20180213_103133","Foods not protected from contamination","Moderate Risk"
